tick,len,raw,comp,ratio
704,6,24,16,1.5
705,6,24,16,1.5
706,6,24,16,1.5
707,6,24,16,1.5
708,6,24,16,1.5
709,6,24,16,1.5
710,6,24,16,1.5
711,6,24,16,1.5
712,6,24,16,1.5
713,6,24,16,1.5
714,6,24,16,1.5
715,6,24,16,1.5
716,6,24,16,1.5
717,6,24,16,1.5
718,6,24,16,1.5
719,6,24,16,1.5
720,6,24,16,1.5
721,6,24,16,1.5
722,6,24,16,1.5
723,6,24,16,1.5
724,6,24,16,1.5
725,6,24,16,1.5
726,6,24,16,1.5
727,6,24,16,1.5
728,6,24,16,1.5
729,6,24,16,1.5
730,6,24,16,1.5
731,6,24,16,1.5
732,6,24,16,1.5
733,6,24,16,1.5
734,6,24,16,1.5
735,6,24,16,1.5
736,6,24,16,1.5
737,6,24,16,1.5
738,6,24,16,1.5
739,6,24,16,1.5
740,6,24,16,1.5
741,6,24,16,1.5
742,6,24,16,1.5
743,6,24,16,1.5
744,6,24,16,1.5
745,6,24,16,1.5
746,6,24,16,1.5
747,6,24,16,1.5
748,6,24,16,1.5
749,6,24,16,1.5
750,6,24,16,1.5
751,6,24,16,1.5
752,6,24,16,1.5
753,6,24,16,1.5
754,6,24,16,1.5
755,6,24,16,1.5
756,6,24,16,1.5
757,6,24,16,1.5
758,6,24,16,1.5
759,6,24,16,1.5
760,6,24,16,1.5
761,6,24,16,1.5
762,6,24,16,1.5
763,6,24,16,1.5
764,6,24,16,1.5
765,6,24,16,1.5
766,6,24,16,1.5
767,6,24,16,1.5
768,6,24,16,1.5
769,6,24,16,1.5
770,6,24,16,1.5
771,6,24,16,1.5
772,6,24,16,1.5
773,6,24,16,1.5
774,6,24,16,1.5
775,6,24,16,1.5
776,6,24,16,1.5
777,6,24,16,1.5
778,6,24,16,1.5
779,6,24,16,1.5
780,6,24,16,1.5
781,6,24,16,1.5
782,6,24,16,1.5
783,6,24,16,1.5
784,6,24,16,1.5
785,6,24,16,1.5
786,6,24,16,1.5
787,6,24,16,1.5
788,6,24,16,1.5
789,6,24,16,1.5
790,6,24,16,1.5
791,6,24,16,1.5
