ts,step,loss,lr,tokens_per_sec,step_ms
1770824435.638642,97,4.149990,0.0003,2050.89,124.82
1770824435.758993,98,4.106608,0.0003,2133.04,120.02
1770824435.884295,99,4.077874,0.0003,2048.13,124.99
1770824436.010690,100,4.164521,0.0003,2030.46,126.08
1770824436.136331,101,4.077809,0.0003,2042.30,125.35
1770824436.257790,102,4.153524,0.0003,2113.02,121.15
1770824436.386930,103,4.079238,0.0003,1987.03,128.84
1770824436.513807,104,4.050627,0.0003,2022.98,126.55
1770824436.637011,105,4.141769,0.0003,2083.47,122.87
1770824436.761036,106,4.114865,0.0003,2071.21,123.60
1770824436.886270,107,4.112537,0.0003,2049.59,124.90
1770824437.030795,108,4.132633,0.0003,1775.71,144.17
1770824437.152439,109,4.205781,0.0003,2111.13,121.26
1770824437.276084,110,4.177018,0.0003,2075.63,123.34
1770824437.401281,111,4.144330,0.0003,2050.90,124.82
1770824437.523022,112,4.134868,0.0003,2108.05,121.44
1770824437.646108,113,4.195342,0.0003,2084.79,122.79
1770824437.766790,114,4.150325,0.0003,2126.49,120.39
1770824437.888252,115,4.084041,0.0003,2113.54,121.12
1770824438.011047,116,4.156364,0.0003,2090.24,122.47
1770824438.136265,117,4.129752,0.0003,2050.20,124.87
1770824438.263039,118,4.168480,0.0003,2025.84,126.37
1770824438.391012,119,4.156358,0.0003,2005.80,127.63
1770824438.512134,120,4.111897,0.0003,2120.36,120.73
1770824438.636841,121,4.201689,0.0003,2059.15,124.32
1770824438.758533,122,4.149873,0.0003,2109.21,121.37
1770824438.882600,123,4.094454,0.0003,2068.69,123.75
1770824439.007257,124,4.141239,0.0003,2058.99,124.33
1770824439.130549,125,4.124186,0.0003,2083.10,122.89
1770824439.252692,126,4.198643,0.0003,2102.05,121.79
1770824439.376996,127,4.157649,0.0003,2065.27,123.96
1770824439.501267,128,4.187000,0.0003,2064.80,123.98
1770824439.627365,129,4.136167,0.0003,2037.05,125.67
1770824439.752086,130,4.213275,0.0003,2058.31,124.37
1770824439.879436,131,4.155014,0.0003,2015.25,127.03
1770824439.997664,132,4.184052,0.0003,2170.48,117.95
1770824440.124963,133,4.171181,0.0003,2017.41,126.90
1770824440.249407,134,4.242892,0.0003,2063.12,124.08
1770824440.374356,135,4.144343,0.0003,2054.77,124.59
1770824440.501622,136,4.189513,0.0003,2017.13,126.91
1770824440.626200,137,4.164937,0.0003,2062.07,124.15
1770824440.747808,138,4.189660,0.0003,2110.07,121.32
1770824440.870933,139,4.204736,0.0003,2084.19,122.83
1770824440.995202,140,4.147837,0.0003,2065.00,123.97
1770824441.115452,141,4.179147,0.0003,2134.31,119.95
1770824441.237793,142,4.193637,0.0003,2097.82,122.03
1770824441.362412,143,4.188468,0.0003,2060.05,124.27
1770824441.487161,144,4.266584,0.0003,2058.56,124.36
1770824441.609218,145,4.242137,0.0003,2102.70,121.75
1770824441.734390,146,4.292786,0.0003,2050.39,124.85
1770824441.858023,147,4.227638,0.0003,2075.75,123.33
1770824441.982619,148,4.207397,0.0003,2059.85,124.28
1770824442.108833,149,4.238165,0.0003,2034.02,125.86
1770824442.232992,150,4.261286,0.0003,2069.81,123.68
1770824442.357227,151,4.200634,0.0003,2066.39,123.89
1770824442.484662,152,4.225101,0.0003,2013.32,127.15
1770824442.614545,153,4.211451,0.0003,1976.23,129.54
1770824442.744433,154,4.282857,0.0003,1977.25,129.47
1770824442.868783,155,4.294016,0.0003,2063.71,124.05
1770824443.003774,156,4.236221,0.0003,1901.15,134.66
1770824443.137650,157,4.254005,0.0003,1917.63,133.50
1770824443.262344,158,4.236763,0.0003,2059.00,124.33
1770824443.392393,159,4.182524,0.0003,1973.53,129.72
